Carimbo de data/hora,"TIPO DE SERVIÇO
",CHASSI/PLACA,DATA DA RELIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
23/06/2025 11:11:30,PREPARAÇÃO DE SEMI-NOVO,POC3C22,23/06/2025,Preparação semi novo,VEICULO USADO  (VU),junho
24/06/2025 10:43:49,LAVAGEM SIMPLES,TIN6B15,24/06/2025,,VEICULO NOVO  (VN),junho
24/06/2025 10:47:19,LAVAGEM SIMPLES,THO5F15,24/06/2025,,VEICULO NOVO  (VN),junho
24/06/2025 16:16:23,LAVAGEM SIMPLES,PNZ8B63,24/06/2025,,VEICULO USADO  (VU),junho
25/06/2025 15:57:59,LAVAGEM SIMPLES,TIH7G95,25/06/2025,,VEICULO NOVO  (VN),junho
25/06/2025 15:58:45,LAVAGEM SIMPLES,172598,25/06/2025,,VEICULO NOVO  (VN),junho
26/06/2025 09:42:48,LAVAGEM SIMPLES,SAS7J11 ,26/06/2025,,VEICULO NOVO  (VN),junho
26/06/2025 09:43:18,LAVAGEM SIMPLES,254728,26/06/2025,,VEICULO NOVO  (VN),junho
26/06/2025 17:07:33,LAVAGEM SIMPLES,SBJ9D21 ,26/06/2025,Showroom ,VEICULO NOVO  (VN),junho
26/06/2025 17:07:57,LAVAGEM SIMPLES,THP7D95,26/06/2025,,VEICULO NOVO  (VN),junho
27/06/2025 10:40:18,LAVAGEM SIMPLES,404827,27/06/2025,Showroom ,VEICULO NOVO  (VN),junho
27/06/2025 13:46:13,PREPARAÇÃO DE SEMI-NOVO,SAV6A70,27/06/2025,,VEICULO USADO  (VU),junho
30/06/2025 15:05:11,LAVAGEM SIMPLES,SBJ9D21 ,30/06/2025,,VEICULO NOVO  (VN),junho
30/06/2025 15:05:46,LAVAGEM SIMPLES,SAS7J11 ,30/06/2025,,VEICULO NOVO  (VN),junho
30/06/2025 15:16:56,LAVAGEM SIMPLES,TIJ0C55,30/06/2025,,VEICULO NOVO  (VN),junho
30/06/2025 15:17:28,PREPARAÇÃO DE SEMI-NOVO,POK3F63,30/06/2025,,VEICULO USADO  (VU),junho
01/07/2025 14:34:04,LAVAGEM SIMPLES,TIA7G05,01/07/2025,"Carro novo entrega 
",VEICULO NOVO  (VN),julho
01/07/2025 14:34:37,LAVAGEM SIMPLES,TIA7G05 ,01/07/2025,,VEICULO NOVO  (VN),julho
01/07/2025 15:42:12,PREPARAÇÃO DE SEMI-NOVO,QQN8G74,01/07/2025,Preparação ,VEICULO USADO  (VU),julho
02/07/2025 08:59:33,LAVAGEM SIMPLES,THU3H75,02/07/2025,,VEICULO NOVO  (VN),julho
02/07/2025 10:13:51,LAVAGEM ESPECIAL,TIJ0E35,02/07/2025,OBS:  DIAMANTAÇÃO ,VEICULO NOVO  (VN),julho
02/07/2025 15:15:02,LAVAGEM SIMPLES,242731,02/07/2025,,VEICULO NOVO  (VN),julho
02/07/2025 15:34:21,KIT CONSERVAÇÃO, SAO7I88,02/07/2025,"Sem lavar motor 
",CARRO DE OFICINA (CT),julho
03/07/2025 10:31:39,LAVAGEM SIMPLES,SBM6G16,03/07/2025,,CARRO DE OFICINA (CT),julho
03/07/2025 14:08:35,"VITRICAÇÃO, VERNIZ DE MOTOR",SR114647,03/07/2025,,VEICULO NOVO  (VN),julho
03/07/2025 14:35:59,"KIT CONSERVAÇÃO, POLIMENTO",SAZ5I32,03/07/2025,,CARRO DE OFICINA (CT),julho
04/07/2025 09:36:44,LAVAGEM SIMPLES,SAS7J11 ,04/07/2025,,VEICULO NOVO  (VN),julho
04/07/2025 09:37:19,PREPARAÇÃO DE SEMI-NOVO,PMX7292,04/07/2025,,VEICULO USADO  (VU),julho
04/07/2025 10:07:10,LAVAGEM SIMPLES,SBJ9D21 ,04/07/2025,,VEICULO NOVO  (VN),julho
04/07/2025 11:15:32,LAVAGEM SIMPLES,SB220921,04/07/2025,,VEICULO NOVO  (VN),julho
04/07/2025 14:54:45,LAVAGEM SIMPLES,SG283622,04/07/2025,"Carro novo pra entregar 
",VEICULO NOVO  (VN),julho
04/07/2025 16:07:38,LAVAGEM SIMPLES,PNV7098,04/07/2025,Entrega seminovo,VEICULO USADO  (VU),julho
04/07/2025 16:35:33,LAVAGEM SIMPLES,SC 439054,04/07/2025,,VEICULO NOVO  (VN),julho
04/07/2025 17:00:16,LAVAGEM SIMPLES,SG256260,04/07/2025,,VEICULO NOVO  (VN),julho
